service_id,service_category,service_name,cost,description
34bcb9eb-785c-45b9-aeaf-4696e5771d91,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
7a07c675-3154-45b9-8a6a-4278808f66fc,Hair,Haircut,48,Haircut under category Hair cost of service is 48 Basic haircut and styling
906df7fb-7492-47d0-9b6d-eb6445fe2aad,Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
03e4be02-a367-4a16-ac96-d5b688b9f553,Massage,Swedish Massage,62,Swedish Massage under category Massage cost of service is 62 Relaxing full-body massage using Swedish techniques
0baef427-e3c2-4d70-81ca-14d943c9b429,Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
491d42b9-4f28-44b5-b71c-bcf5bdfc7272,Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
42a0d06a-9dc1-410f-909b-f8183e7a76ec,Hair,Temporary Hair Coloring,69,Temporary Hair Coloring under category Hair cost of service is 69 Full hair coloring service
47c1e7c1-8ca4-44b4-9f55-bd3a98052b6e,Hair,Hair Treatment,52,Hair Treatment under category Hair cost of service is 52 Treatment to improve hair health
9b4192a6-deb6-4ab3-a71b-111118a1e59d,Hair,Haircut,48,Haircut under category Hair cost of service is 48 Basic haircut and styling
bc2c53ab-4576-4665-8846-094635048900,Hair,Pixie Haircut,48,"Pixie Haircut under category Hair cost of service is 48 This is one of the most popular haircuts for women. We adore a lady who isn’t scared to toss out her lengthy locks in favour of a perfectly cut pixie. The style is elegant, classic, and always in style"
bcadcb7d-6e47-4753-ac8d-e21eeeb280b6,Hair,Side-Swept Crop Haircut,48,"Side-Swept Crop Haircut under category Hair cost of service is 48 If you take the plunge and get this cut, you’ll have many people calling you brave. But it will create a lasting impact and impression for sure. The deep part and long bangs make it look edgy yet so elegant"
643c0de2-93d2-4826-b1f2-298530327f36,Hair,Blunt Lob Haircut,48,"Blunt Lob Haircut under category Hair cost of service is 48 This cut is relatively new to the scene. But it’s bound to be a classic! The blunt ends, with a sleek texture, and a distinguishable face-framing silhouette make this look universally flattering and so chic."
109c6e57-21de-4b31-ad06-d38a99ed0c56,Hair,Choppy Bob Haircut,48,"Choppy Bob Haircut under category Hair cost of service is 48 Perfect for those with thin hair, this bob features a deep side part that will give the illusion of a lot of volume"
76f38e8c-5bda-425d-9152-7f6b5bb4979f,Hair,Face-Framing Waves Haircut,48,Face-Framing Waves Haircut under category Hair cost of service is 48 The best part about face-framing waves is that they suit almost every face shape whether it’s a rectangle or oval. The best way to pull off this look is to embrace your natural texture and work with that. It’s that easy
77e57153-5812-4ffb-88f1-c7cad2f9dbb0,Hair,Fusio Scrub + Urban Hair Treatment Hair Treatment,52,Fusio Scrub + Urban Hair Treatment Hair Treatment under category Hair cost of service is 52 A detox treatment that restores the health of your scalp and deeply purifies the hair through a scrub which is then associated with a personalized and specific treatment
3299c0ff-b7ad-491c-b319-72f19095a5ef,Hair,LAMINATING Hair Treatment,52,"LAMINATING Hair Treatment under category Hair cost of service is 52 To maintain color and elasticity, predict hair breakage . It has a rolling effect by creating the film around the hair. Duration of effect 1.5-2 months"
8ff6e64d-e711-4aaa-9736-b9454f98c3ad,Hair,Balayage Hair Coloring,69,"Balayage Hair Coloring under category Hair cost of service is 69 This stunning freehand technique turns your hair into a modern work of art. Color is painted onto the hair to create a graduated, more natural looking highlight. Let us prove we’re the best balayage salon for you – schedule an appointment today to enjoy gorgeous and long lasting dimension and color"
0f8f054c-2f0c-4bcc-b39a-182817527ab7,Massage,"Head, Hands, and Feet Massage",62,"Head, Hands, and Feet Massage under category Massage cost of service is 62 This therapy blends several massage techniques on the hands and feet with a relaxing scalp massage to provide relaxation and detoxification"
7de06452-fa67-4bf5-9236-51f16ba63f74,Massage,LAVA STONE Massage,88,LAVA STONE Massage under category Massage cost of service is 88 Warm basalt stones and cool marble stones are incorporated into this luxurious treatment to achieve the ultimate in relaxation
